"Fecha","prov_residencia_persona_en_situacion_violencia","genero_persona_en_situacion_de_violencia","edad_persona_en_situacion_de_violencia","pais_nacimiento_persona_en_situacion_de_violencia","tipo_de_violencia_fisica","tipo_de_violencia_psicologica","tipo_de_violencia_sexual","tipo_de_violencia_economica_y_patrimonial","tipo_de_violencia_simbolica","tipo_de_violencia_domestica","modalidad_de_violencia_institucional","modalidad_de_violencia_laboral","modalidad_violencia_contra_libertad_reproductiva","modalidad_de_violencia_obstetrica","modalidad_de_violencia_mediatica","modalidad_de_violencia_otras","vinculo_con_la_persona_agresora","genero_de_la_persona_agresora"
"1/1/2022","Buenos Aires","Mujer","31","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","31","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","29","Boliviana","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","43","Argentina","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","30","Paraguaya","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Santiago Del Estero","Mujer","27","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Santa Fe","Mujer","","","Si","Si","Si","No","No","No","No","No","No","No","No","No","Otro","Varon"
"1/1/2022","Buenos Aires","Mujer","34","Paraguaya","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","31","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Santa Fe","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Corrientes","Mujer","28","","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja",""
"1/1/2022","Buenos Aires","Mujer","24","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","35","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Tucuman","Mujer","28","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","La Rioja","Mujer","29","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Rio Negro","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Corrientes","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","29","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Tucuman","Mujer","61","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/1/2022","Neuquen","Mujer","30","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Jujuy","Mujer","22","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","Si","Si","Si","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Santa Fe","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Tucuman","Mujer","48","Argentina","Si","Si","Si","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","25","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","31","Argentina","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja",""
"1/1/2022","Buenos Aires","Mujer","28","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","San Luis","Mujer","42","Argentina","Si","Si","No","No","Si","No","No","Si","No","No","No","No","Superior jerarquico","Varon"
"1/1/2022","Buenos Aires","Mujer","25","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Cordoba","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Rio Negro","Mujer","22","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","27","Argentina","Si","Si","Si","Si","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/1/2022","Santa Fe","Mujer","33","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","66","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","35","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","36","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","33","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","La Rioja","Mujer","24","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","28","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","27","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","49","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/1/2022","Buenos Aires","Mujer","24","Argentina","No","Si","Si","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","39","Argentina","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","27","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","","","No","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","30","Colombiana","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","41","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","37","","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Buenos Aires","Mujer","37","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","35","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","94","","No","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Mujer"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","55","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/1/2022","","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/1/2022","Ciudad Autonoma de Buenos Aires","Mujer","","","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","69","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/2/2022","Santa Fe","Mujer","25","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Jujuy","Mujer","22","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Cordoba","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Tucuman","Mujer","36","Argentina","Si","Si","Si","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","25","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Cordoba","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Chaco","Mujer","66","","No","Si","No","No","No","Si","No","No","No","No","No","No","Otro","Varon"
"1/2/2022","San Juan","Mujer","52","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Mendoza","Mujer","35","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","42","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Santa Fe","Mujer","44","Argentina","No","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja",""
"1/2/2022","Buenos Aires","Mujer","29","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Misiones","Mujer","27","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","30","Paraguaya","No","Si","No","No","Si","No","No","No","No","No","No","No","Otro",""
"1/2/2022","Buenos Aires","Mujer","35","Argentina","No","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Tucuman","Mujer","24","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","58","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Jujuy","Mujer","20","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","27","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Santa Fe","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","24","Argentina","Si","Si","Si","No","Si","Si","No","No","No","No","No","No","Otro","Varon"
"1/2/2022","Tucuman","Mujer","28","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","34","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","68","","No","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Rio Negro","Mujer","42","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Santa Fe","Mujer","24","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","42","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","San Juan","Mujer","39","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","47","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Corrientes","Mujer","30","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Mendoza","Mujer","51","","Si","Si","Si","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","La Rioja","Mujer","","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","20","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","34","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","45","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","","Si","Si","Si","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","34","Argentina","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","43","","No","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","39","","No","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","31","Argentina","No","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","14","Argentina","Si","Si","Si","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","Argentina","No","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","26","Argentina","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","29","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","26","Argentina","No","Si","No","Si","Si","Si","Si","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","59","","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","33","Argentina","No","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","40","","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","","","Si","Si","Si","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","","Mujer","","","Si","No","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","39","","Si","Si","No","No","No","Si","No","No","No","No","No","No","",""
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","30","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","52","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","40","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","85","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Buenos Aires","Mujer","45","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","50","Peruana","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","30","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","47","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","35","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","34","Argentina","No","Si","Si","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/2/2022","Ciudad Autonoma de Buenos Aires","Mujer","54","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro","Varon"
"1/2/2022","Buenos Aires","Mujer","54","Argentina","No","No","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja",""
"1/3/2022","Buenos Aires","Mujer","26","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Buenos Aires","Mujer","44","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","27","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Chubut","Mujer","12","","Si","Si","Si","No","No","Si","No","No","No","No","No","No","Otro",""
"1/3/2022","Neuquen","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","","","No","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Santa Fe","Mujer","34","","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/3/2022","Buenos Aires","Mujer","","Argentina","Si","Si","Si","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Chaco","Mujer","29","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","",""
"1/3/2022","Salta","Mujer","38","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","La Rioja","Mujer","27","","No","No","No","Si","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Buenos Aires","Mujer","49","Paraguaya","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Mendoza","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Tucuman","Mujer","27","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","36","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","35","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","42","","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Mendoza","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Mendoza","Mujer","","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Rio Negro","Mujer","","","No","Si","No","No","No","Si","No","No","No","No","No","No","Padre o tutor",""
"1/3/2022","Buenos Aires","Mujer","","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Mendoza","Mujer","24","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","21","Argentina","No","No","No","No","Si","No","No","No","No","No","No","No","",""
"1/3/2022","Mendoza","Mujer","41","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","35","Paraguaya","No","Si","No","No","No","No","No","No","No","No","No","No","",""
"1/3/2022","Buenos Aires","Mujer","33","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Cordoba","Mujer","56","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja",""
"1/3/2022","Buenos Aires","Mujer","57","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Santiago Del Estero","Mujer","25","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","33","Argentina","No","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","18","Argentina","No","No","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","67","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/3/2022","Buenos Aires","Mujer","41","","No","No","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","35","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","32","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/3/2022","Buenos Aires","Mujer","41","Argentina","Si","Si","Si","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","20","Argentina","No","Si","No","No","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","64","Argentina","No","Si","No","Si","Si","No","No","No","No","No","No","No","Otro","Varon"
"1/3/2022","Buenos Aires","Mujer","28","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","38","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","34","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","28","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/3/2022","Buenos Aires","Mujer","21","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","20","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/3/2022","Buenos Aires","Mujer","71","Dominicana","Si","Si","Si","No","No","No","No","No","No","No","No","No","Otro","Varon"
"1/3/2022","Buenos Aires","Mujer","43","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","17","Argentina","No","Si","Si","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","26","","No","Si","No","Si","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","39","","No","Si","Si","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","18","","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","17","Argentina","No","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","25","Boliviana","Si","Si","No","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","31","","No","Si","No","Si","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Buenos Aires","Mujer","36","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","26","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","37","Argentina","No","Si","Si","No","Si","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","41","","No","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","33","Colombiana","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","","Mujer","24","Paraguaya","Si","Si","Si","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","","","Si","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","","80","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/3/2022","Ciudad Autonoma de Buenos Aires","Mujer","47","","No","No","Si","No","No","Si","No","No","No","No","No","Si","Ex pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","37","Argentina","Si","Si","No","Si","Si","Si","No","No","No","No","No","No","Pareja","Varon"
"1/4/2022","Tucuman","Mujer","32","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","","","Si","No","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/4/2022","Mendoza","Mujer","41","","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","","","Si","No","No","No","No","Si","No","No","No","No","No","No","Pareja",""
"1/4/2022","Catamarca","Mujer","60","Argentina","Si","Si","No","No","No","Si","No","No","No","No","No","No","Otro familiar","Varon"
"1/4/2022","Buenos Aires","Mujer","31","Paraguaya","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","28","Argentina","No","Si","No","Si","No","Si","No","No","No","No","No","No","Pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","27","","No","No","No","Si","No","Si","No","No","No","No","No","No","Ex pareja",""
"1/4/2022","Buenos Aires","Mujer","44","Argentina","Si","Si","No","Si","No","Si","No","No","No","No","No","No","Ex pareja","Varon"
"1/4/2022","Buenos Aires","Mujer","26","Argentina","No","Si","No","No","No","Si","No","No","No","No","No","No","Ex pareja",""
